Tiempo (s),Tiempo (horas),Temperatura_Salon_5 (C),Potencia_Salon_5 (W)
2130.0,0.5916666666666667,21.588523431219567,1680.5884776581772
2131.0,0.5919444444444445,21.588536514827354,1680.519626616848
2132.0,0.5922222222222222,21.588550487926593,1680.5877421318512
2133.0,0.5925,21.588567178853904,1680.7926540334722
2134.0,0.5927777777777777,21.588588405560667,1681.1338119040513
2135.0,0.5930555555555556,21.588615970588858,1681.6102884349518
2136.0,0.5933333333333334,21.588651656103924,1682.2207830711168
2137.0,0.5936111111111111,21.588697218992817,1682.9636262679578
2138.0,0.5938888888888889,21.588754386037397,1683.8367845203288
2139.0,0.5941666666666666,21.588824849174486,1684.8378662430662
2140.0,0.5944444444444444,21.588910260854295,1685.9641285403634
2141.0,0.5947222222222223,21.589012229509134,1687.212484877305
2142.0,0.595,21.589132315144298,1688.5795136522893
2143.0,0.5952777777777778,21.589272025062805,1690.0614676594687
2144.0,0.5955555555555555,21.589432809735435,1691.6542844235883
2145.0,0.5958333333333333,21.58961605882721,1693.3535973844791
2146.0,0.5961111111111111,21.58982309739106,1695.1547479044236
2147.0,0.5963888888888889,21.590055182238984,1697.052798068177
2148.0,0.5966666666666667,21.590313498500592,1699.0425442425123
2149.0,0.5969444444444445,21.5905991563784,1701.118531359535
2150.0,0.5972222222222222,21.5909131881087,1703.27506788565
2151.0,0.5975,21.591256545136332,1705.5062414359572
2152.0,0.5977777777777777,21.59163009551104,1707.8059349918497
2153.0,0.5980555555555556,21.592034621512546,1710.167843677852
2154.0,0.5983333333333334,21.592470817510847,1712.585492052051
2155.0,0.5986111111111111,21.592939288067544,1715.0522518630428
2156.0,0.5988888888888889,21.593440546283432,1717.5613602249389
2157.0,0.5991666666666666,21.593975012396864,1720.1059381608363
2158.0,0.5994444444444444,21.594543012636723,1722.679009464072
2159.0,0.5997222222222223,21.595144778333136,1725.2735198257362
2160.0,0.6,21.59578044528838,1727.8823561761378
2161.0,0.6002777777777778,21.596450053409697,1730.4983661873596
2162.0,0.6005555555555555,21.597153546605018,1733.1143778835612
2163.0,0.6008333333333333,21.597890772941895,1735.7232193054422
2164.0,0.6011111111111112,21.59866148506923,1738.3177381750943
2165.0,0.6013888888888889,21.599465340900597,1740.890821507539
2166.0,0.6016666666666667,21.600301904557366,1743.4354151153736
2167.0,0.6019444444444444,21.601170647569003,1745.944542953329
2168.0,0.6022222222222222,21.602070950327303,1748.4113262499825
2169.0,0.6025,21.603002103790573,1750.8290023745867
2170.0,0.6027777777777777,21.60396331143315,1753.1909433877315
2171.0,0.6030555555555556,21.604953691434922,1755.4906742256132
2172.0,0.6033333333333334,21.6059722791049,1757.7218904688436
2173.0,0.6036111111111111,21.607018029532277,1759.878475648117
2174.0,0.6038888888888889,21.608089820457778,1761.954518040708
2175.0,0.6041666666666666,21.609186455357523,1763.9443269136298
2176.0,0.6044444444444445,21.61030666673111,1765.8424481715745
2177.0,0.6047222222222223,21.611449119585075,1767.6436793704224
2178.0,0.605,21.61261241510246,1769.343084060493
2179.0,0.6052777777777778,21.613795094488783,1770.9360054279969
2180.0,0.6055555555555555,21.614995642984372,1772.4180792090124
2181.0,0.6058333333333333,21.61621249403287,1773.785245858599
2182.0,0.6061111111111112,21.617444033595575,1775.033761970331
2183.0,0.6063888888888889,21.618688604601587,1776.1602109619596
2184.0,0.6066666666666667,21.6199445115244,1777.1615130782636
2185.0,0.6069444444444444,21.621210025077144,1778.0349348274453
2186.0,0.6072222222222222,21.622483387022,1778.7780980971554
2187.0,0.6075,21.623762815096363,1779.388989475165
2188.0,0.6077777777777778,21.62504650807406,1779.8659709586773
2189.0,0.6080555555555556,21.626332650576394,1780.207761872422
2190.0,0.6083333333333333,21.627619417115923,1780.4133821063538
2191.0,0.6086111111111111,21.62890497726937,1780.4822370273416
2192.0,0.6088888888888889,21.63018750084399,1780.41411762902
2193.0,0.6091666666666666,21.6314651629863,1780.2091968631064
2194.0,0.6094444444444445,21.632736149244845,1779.8680268340604
2195.0,0.6097222222222223,21.633998660586062,1779.3915359159641
2196.0,0.61,21.6352509183564,1778.7810253588839
2197.0,0.6102777777777778,21.636491169181223,1778.0381651724813
2198.0,0.6105555555555555,21.63771768978942,1777.1649891794143
2199.0,0.6108333333333333,21.638928791752058,1776.1638891849768
2200.0,0.6111111111111112,21.640122826123093,1775.0376082393054
2201.0,0.6113888888888889,21.641298187970037,1773.789232986275
2202.0,0.6116666666666667,21.642453320782657,1772.4221851046225
2203.0,0.6119444444444444,21.643586720747958,1770.9402118546654
2204.0,0.6122222222222222,21.644696940879918,1769.3473757497875
2205.0,0.6125,21.64578259499286,1767.6480433763613
2206.0,0.6127777777777778,21.646842361507684,1765.8468733895359
2207.0,0.6130555555555556,21.647874987080627,1763.9488037154667
2208.0,0.6133333333333333,21.648879290044647,1761.9590379934232
2209.0,0.6136111111111111,21.64985416365412,1759.8830312936811
2210.0,0.6138888888888889,21.65079857912391,1757.726475149451
2211.0,0.6141666666666666,21.651711588454617,1755.4952819431576
2212.0,0.6144444444444445,21.652592327036164,1753.1955686893455
2213.0,0.6147222222222222,21.653440016022742,1750.8336402582304
2214.0,0.615,21.654253964472517,1748.4159720855653
2215.0,0.6152777777777778,21.65503357124629,1745.9491924159274
2216.0,0.6155555555555555,21.655778326659902,1743.4400641278999
2217.0,0.6158333333333333,21.6564878138859,1740.8954661907574
2218.0,0.6161111111111112,21.657161710100546,1738.3223748033422
2219.0,0.6163888888888889,21.65779978737313,1735.727844266679
2220.0,0.6166666666666667,21.658401913295055,1733.1189876426179
2221.0,0.6169444444444444,21.658968051347063,1730.502957251413
2222.0,0.6172222222222222,21.6594982610035,1727.8869250615435
2223.0,0.6175,21.659992697573394,1725.2780630254208
2224.0,0.6177777777777778,21.66045161177878,1722.6835234147147
2225.0,0.6180555555555556,21.660875349071357,1720.110419209065
2226.0,0.6183333333333333,21.66126434868942,1717.5658045917237
2227.0,0.6186111111111111,21.661619142457578,1715.056655605396
2228.0,0.6188888888888889,21.661940353332554,1712.5898510210118
2229.0,0.6191666666666666,21.662228693699056,1710.1721534715668
2230.0,0.6194444444444445,21.66248496342031,1707.8101909023082
2231.0,0.6197222222222222,21.662710047648627,1705.5104383876157
2232.0,0.62,21.662904914401896,1703.279200363719
2233.0,0.6202777777777778,21.663070611912662,1701.1225933250942
2234.0,0.6205555555555555,21.663208265756943,1699.0465290307798
2235.0,0.6208333333333333,21.663319075770552,1697.0566982650867
2236.0,0.6211111111111111,21.66340431276132,1695.1585551950532
2237.0,0.6213888888888889,21.663465315025995,1693.3573023645524
2238.0,0.6216666666666667,21.663503484681222,1691.657876361962
2239.0,0.6219444444444444,21.6635202838183,1690.064934194634
2240.0,0.6222222222222222,21.663517230491905,1688.582840398602
2241.0,0.6225,21.663495894553122,1687.2156549054691
2242.0,0.6227777777777778,21.663457893337394,1685.967121679044
2243.0,0.6230555555555556,21.663404887217858,1684.840658119935
2244.0,0.6233333333333333,21.663338575034242,1683.8393452129044
2245.0,0.6236111111111111,21.66326068940659,1682.9659183509743
2246.0,0.6238888888888889,21.663172991941153,1682.2227586943425
2247.0,0.6241666666666666,21.663077268331822,1681.6118847702464
2248.0,0.6244444444444445,21.66297532335222,1681.1349436908142
2249.0,0.6247222222222222,21.662868975815755,1680.7932081402505
2250.0,0.625,21.662760054398827,1680.5876402812135
2251.0,0.6252777777777778,21.66265039270082,1680.5188341804903
