Tiempo (horas),Temperatura_Salon_1 (C),Potencia_Salon_1 (W),Referencia_Salon_1 (C),Temperatura_Salon_2 (C),Potencia_Salon_2 (W),Referencia_Salon_2 (C),Temperatura_Salon_3 (C),Potencia_Salon_3 (W),Referencia_Salon_3 (C),Temperatura_Salon_4 (C),Potencia_Salon_4 (W),Referencia_Salon_4 (C)
0.8333333333333334,21.748163147282618,1814.8176939528255,22.0,20.813335243166996,1592.1358217933036,21.0,19.810484800719145,1451.3683356310219,20.0,18.87565689660352,1228.6864634715055,19.0
0.85,21.74816314728262,1814.8176939528234,22.0,20.813335243166996,1592.135821793302,21.0,19.810484800719145,1451.3683356310219,20.0,18.87565689660352,1228.6864634715055,19.0
0.8666666666666667,21.748163147282618,1814.8176939528255,22.0,20.813335243166996,1592.1358217933036,21.0,19.810484800719145,1451.3683356310219,20.0,18.87565689660352,1228.6864634715055,19.0
0.8833333333333333,21.74816314728262,1814.8176939528234,22.0,20.813335243166996,1592.135821793302,21.0,19.810484800719145,1451.3683356310219,20.0,18.87565689660352,1228.6864634715055,19.0
0.9,21.748163147282618,1814.8176939528255,22.0,20.813335243166996,1592.1358217933036,21.0,19.810484800719145,1451.3683356310219,20.0,18.87565689660352,1228.6864634715055,19.0
0.9166666666666666,21.74816314728262,1814.8176939528234,22.0,20.813335243166996,1592.135821793302,21.0,19.810484800719145,1451.3683356310219,20.0,18.87565689660352,1228.6864634715055,19.0
0.9333333333333333,21.748163147282618,1814.8176939528255,22.0,20.813335243166996,1592.1358217933036,21.0,19.810484800719145,1451.3683356310219,20.0,18.87565689660352,1228.6864634715055,19.0
0.95,21.74816314728262,1814.8176939528234,22.0,20.813335243166996,1592.135821793302,21.0,19.810484800719145,1451.3683356310219,20.0,18.87565689660352,1228.6864634715055,19.0
0.9666666666666667,21.748163147282618,1814.8176939528255,22.0,20.813335243166996,1592.1358217933036,21.0,19.810484800719145,1451.3683356310219,20.0,18.87565689660352,1228.6864634715055,19.0
0.9833333333333333,21.74816314728262,1814.8176939528234,22.0,20.813335243166996,1592.135821793302,21.0,19.810484800719145,1451.3683356310219,20.0,18.87565689660352,1228.6864634715055,19.0
1.0,21.748163147282618,1814.8176939528234,22.0,20.813335243166996,1592.135821793302,21.0,19.810484800719145,1451.3683356310219,20.0,18.87565689660352,1228.6864634715055,19.0
